Address,Price,Area,Rooms,Expenses_per_sqm,Age of Building,Floor,Floor_Category,District,District_Floor,Elevator,Balcony,Patio,Fireplace,Subway Station,Grocery Store,Gym,Bakery,Latitude,Longitude
Valborgsmässovägen 10,2775000,34.5,2.0,95.44927536231884,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,364,127,240,215,59.30072909999999,18.0010871
Snickerigatan 14,5295000,83.0,3.0,61.096385542168676,11.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,502,403,217,201,59.299234,17.9884047
Bäckvägen 80,2750000,47.0,2.0,72.57446808510639,82.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,464,339,297,286,59.3023176,17.993517
Lm Ericssons väg 2,5600000,80.0,3.0,77.675,15.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,337,271,175,149,59.30088299999999,17.9941986
Svandammsvägen 39,3350000,52.0,2.0,83.75,7.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,0,0,0,275,242,335,252,59.3010834,18.0074337
Tegelbruksvägen 14,3225000,42.0,2.0,98.69047619047619,88.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,0,0,0,172,174,750,205,59.30318010000001,18.0135542
Responsgatan 12,2850000,46.0,2.0,68.34034290044521,5.0,4.0,Mid,Telefonplan,Telefonplan-Mid,1,1,0,0,380,69,96,237,59.29645899999999,18.0027115
Pingstvägen 6,7050000,92.0,4.0,85.96739130434783,81.0,3.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,472,73,299,244,59.30152649999999,18.0021623
Midsommarvägen 49,6000000,70.0,3.0,55.114285714285714,15.0,2.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,467,198,107,37,59.2995459,18.0047702
Fastlagsvägen 54,2950000,45.0,2.0,62.16847545219638,32.0,1.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,368,264,302,382,59.3030206,17.9925257
Mobilgatan 11,5000000,81.0,3.0,69.01234567901234,11.0,2.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,512,377,238,212,59.2990109,17.9881488
Radiusbacken 39,2700000,39.0,2.0,76.66160012099215,,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,1,1,0,0,452,261,121,125,59.2981749,18.0049208
Huvudfabriksgatan 6,3295000,49.0,2.0,83.55872160184829,15.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,1,0,0,319,259,121,168,59.30050180000001,17.9936123
Lötmogatan 3,5900000,72.0,3.0,54.013888888888886,88.0,3.0,Lo,Midsommarkransen,Midsommarkransen-Lo,0,1,0,0,181,199,719,242,59.30347310000001,18.0122977
Responsgatan 12,2750000,46.0,2.0,68.34034290044521,5.0,3.0,Lo,Telefonplan,Telefonplan-Lo,1,0,0,0,380,69,96,237,59.29645899999999,18.0027115
Cedergrensvägen 22,2500000,35.0,1.0,91.6,84.0,1.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,462,184,402,335,59.3022934,18.0008798
Cedergrensvägen 46,2700000,35.0,2.0,91.6,85.0,2.0,Lo,LM-Staden,LM-Staden-Lo,0,0,0,0,274,202,311,59,59.3006717,17.9972199
