Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Johannesbergsgatan 4,Midsommarkransen,2495000,32.0,0.0,1.0,3232,3.0,1936.0,0,1,0,0,2024-09-06,14,59.30046919999999,18.0111549
Responsgatan 14,Telefonplan,2500000,34.0,0.0,1.0,2417,4.0,2019.0,1,1,0,0,2024-06-19,47,59.29665749999999,18.0030007
Mobilgatan 1B,Telefonplan,3795000,55.5,0.0,2.0,4224,3.0,2022.0,1,1,0,0,2024-04-26,29,59.29754430000001,17.988501
Filvägen 11,Hökmossen,2920000,50.0,0.0,2.0,3424,2.0,1945.0,0,1,0,0,2024-06-18,18,59.29467020000001,17.9949109
Radiusbacken 23,Midsommarkransen,7500000,87.0,0.0,4.0,5084,1.0,1943.0,1,1,0,0,2024-05-14,6,59.29893010000001,18.0054637
Telefonvägen 7,Midsommarkransen,3650000,68.0,0.0,2.0,6549,4.0,1993.0,1,1,0,0,2024-06-26,42,59.300436,18.0032084
Valsbergs gränd 4,Midsommarkransen,2980000,40.0,0.0,2.0,3280,3.0,1944.0,0,1,0,0,2024-03-22,13,59.3010302,18.0099272
Svandammsvägen 8,Midsommarkransen,4000000,48.0,0.0,2.0,2329,1.0,1929.0,0,0,0,0,2024-05-23,8,59.3019785,18.014739
Tegelbruksvägen 8C,Midsommarkransen,3200000,32.0,0.0,2.0,1750,,1936.0,0,0,0,0,2024-06-14,2,59.30281830000001,18.0148654
Valborgsmässovägen 4,LM-Staden,3250000,51.0,0.0,2.0,4285,3.0,1939.0,0,0,0,0,2024-06-11,32,59.3009532,18.0015404
Tellusborgsvägen 90,Midsommarkransen,2625000,35.0,0.0,1.0,2586,3.0,2012.0,1,1,0,0,2024-02-23,18,59.29883299999999,18.0020192
Vattenledningsvägen 85,Midsommarkransen,3350000,43.0,0.0,2.0,3198,3.0,1943.0,0,1,0,0,2024-09-05,6,59.3002437,18.0064252
Tvingvägen 26,Hökmossen,2400000,36.0,0.0,2.0,2275,1.0,1942.0,0,0,0,0,2024-03-19,3,59.29390290000001,17.9987056
Tångvägen 20,Hökmossen,2550000,42.5,0.0,2.0,3175,1.0,1944.0,0,0,0,0,2024-05-05,22,59.2936676,17.9959546
Valborgsmässovägen 25,LM-Staden,3600000,51.0,0.0,2.0,4285,1.0,1938.0,0,0,0,0,2024-05-19,31,59.2993109,17.998456
Responsgatan 18,Telefonplan,2820000,46.0,0.0,2.0,3485,5.0,2019.0,1,1,0,0,2024-07-22,51,59.29709949999999,18.0038945
Svandammsvägen 31B,Midsommarkransen,4350000,58.0,0.0,2.0,5264,1.0,1937.0,1,0,0,0,2024-03-04,17,59.301071,18.0093436
Snickerigatan 9,Telefonplan,5840000,72.0,0.0,3.5,4891,6.0,2015.0,1,1,0,0,2024-08-07,13,59.2989238,17.9889589
Responsgatan 14,Telefonplan,2700000,46.0,0.0,2.0,3603,3.0,,0,1,0,0,2024-01-18,17,59.29665749999999,18.0030007
Hökmossevägen 68,Hökmossen,2750000,62.0,0.0,3.5,4884,2.0,,0,0,0,0,2024-05-22,89,59.29032709999999,17.9883463
Radiusbacken 21,Midsommarkransen,3375000,42.0,0.0,2.0,2704,2.0,,1,0,0,0,2024-07-04,42,59.2988457,18.0052136
Valborgsmässovägen 36,LM-Staden,2775000,34.5,0.0,2.0,3293,2.0,1940.0,0,0,0,0,2024-09-11,30,59.29953039999999,17.9983399
Kransbindarvägen 21,LM-Staden,2750000,35.0,0.0,1.0,3206,1.0,1940.0,0,0,0,0,2024-04-19,13,59.3025017,18.0004954
Flygelgatan 4,Telefonplan,4095000,62.5,0.0,3.0,4764,1.0,2012.0,1,0,1,0,2024-06-17,32,59.29830860000001,18.0015267
Pingstvägen 54,LM-Staden,2900000,35.0,0.0,2.0,3206,1.0,1940.0,0,0,0,0,2024-07-27,0,59.30136959999999,17.9957039
Responsgatan 12,Telefonplan,2750000,45.0,0.0,2.0,3135,4.0,2019.0,1,1,0,0,2024-09-12,13,59.29645899999999,18.0027115
Hökmossevägen 14,Hökmossen,2900000,53.5,0.0,3.0,4255,3.0,1944.0,0,1,0,0,2024-06-01,14,59.29266969999999,17.9964207
Fastlagsvägen 40,Midsommarkransen,6125000,79.0,0.0,3.0,4250,1.0,1992.0,1,1,0,0,2024-07-19,0,59.303802,17.9952748
Vattenledningsvägen 73,Midsommarkransen,4550000,57.0,0.0,2.0,3056,2.0,1943.0,1,1,0,0,2024-09-11,12,59.3007185,18.0059464
Responsgatan 18,Telefonplan,2830000,46.0,0.0,2.0,3135,5.0,,1,1,0,0,2024-02-28,12,59.29709949999999,18.0038945
Tellusborgsvägen 94,Telefonplan,2760000,47.0,0.0,2.0,3211,,2015.0,1,1,0,0,2024-07-25,61,59.29843750000001,18.0022255
Tellusborgsvägen 47A,Gamla Midsommarkransen,9525000,106.0,0.0,4.0,6679,1.0,1910.0,0,0,0,1,2024-01-02,7,59.30271709999999,18.0069632
Kransbindarvägen 13,LM-Staden,2800000,35.0,0.0,2.0,3206,1.0,,0,0,0,0,2024-02-02,0,59.3021006,18.0013549
Svandammsvägen 10,Midsommarkransen,2860000,39.0,0.0,2.0,2856,2.0,1936.0,0,0,0,0,2024-02-23,13,59.30188119999999,18.0142112
Tellusborgsvägen 75,Telefonplan,4400000,62.0,0.0,2.0,3947,3.0,2011.0,1,1,0,0,2024-05-23,10,59.29810490000001,18.0024547
Tellusborgsvägen 78A,Midsommarkransen,3550000,42.0,0.0,2.0,2486,3.0,1944.0,0,1,0,0,2024-04-11,34,59.3000397,18.0038741
Cedergrensvägen 61,LM-Staden,3400000,51.0,0.0,2.0,4285,2.0,,0,0,0,0,2024-03-26,16,59.3001697,17.9958098
Hökmossevägen 23,Hökmossen,2575000,44.0,0.0,2.5,4066,3.0,1943.0,0,1,0,0,2024-04-24,40,59.29160539999999,17.9950926
Cedergrensvägen 28,LM-Staden,4000000,57.0,0.0,3.0,4703,3.0,1940.0,0,0,0,0,2024-04-19,14,59.3018423,18.0000717
Cedergrensvägen 57,LM-Staden,2600000,34.5,0.0,2.0,2635,3.0,1939.0,0,0,0,0,2024-03-21,19,59.300284,17.9966046
Valborgsmässovägen 38,LM-Staden,2850000,34.5,0.0,1.0,3293,2.0,1940.0,0,0,0,0,2024-08-02,53,59.2993967,17.99797
